Query Id			P@5			P@10			P@20			P@30			MAP
202			0.0			0.0			0.0			0.0			0.0001409944520583514
214			0.6			0.5			0.4			0.3333333333333333			0.20021486782642053
216			0.6			0.8			0.75			0.7333333333333333			0.23132679359004205
221			1.0			0.7			0.85			0.8666666666666667			0.20084500595073043
227			0.0			0.0			0.15			0.13333333333333333			0.04563483483913836
230			0.6			0.6			0.4			0.3333333333333333			0.05019229464838409
234			0.0			0.0			0.0			0.16666666666666666			0.144061635962847
243			0.2			0.2			0.1			0.06666666666666667			0.06719516453355404
246			0.2			0.2			0.1			0.16666666666666666			0.06122923092718452
250			0.0			0.0			0.0			0.0			0.0148370131764672
